corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
single_qubit_flags [[ True False False False]
 [False  True False False]
 [False False  True False]
 [False False False  True]]
corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
QOC is saving this optimization run to ./out/00001_hamil_500_2_2_2.h5.
iter   |   total error  |    grads_l2   
 404   | 1.67923072e-01 | 5.97722263e-02
 405   | 1.66476243e-01 | 5.98849149e-02
 406   | 1.65025156e-01 | 5.99997829e-02
 407   | 1.63569625e-01 | 6.01166062e-02
 408   | 1.62109466e-01 | 6.02351835e-02
 409   | 1.60644500e-01 | 6.03553252e-02
 410   | 1.59174552e-01 | 6.04768412e-02
 411   | 1.57699452e-01 | 6.05995319e-02
 412   | 1.56219038e-01 | 6.07231807e-02
 413   | 1.54733153e-01 | 6.08475513e-02
 414   | 1.53241650e-01 | 6.09723866e-02
 415   | 1.51744390e-01 | 6.10974111e-02
 416   | 1.50241246e-01 | 6.12223345e-02
 417   | 1.48732104e-01 | 6.13468555e-02
 418   | 1.47216860e-01 | 6.14706647e-02
 419   | 1.45695430e-01 | 6.15934469e-02
 420   | 1.44167741e-01 | 6.17148812e-02
 421   | 1.42633738e-01 | 6.18346395e-02
 422   | 1.41093385e-01 | 6.19523843e-02
 423   | 1.39546663e-01 | 6.20677656e-02
 424   | 1.37993574e-01 | 6.21804182e-02
 425   | 1.36434138e-01 | 6.22899598e-02
 426   | 1.34868396e-01 | 6.23959890e-02
 427   | 1.33296413e-01 | 6.24980862e-02
 428   | 1.31718275e-01 | 6.25958146e-02
 429   | 1.30134089e-01 | 6.26887228e-02
 430   | 1.28543991e-01 | 6.27763485e-02
 431   | 1.26948135e-01 | 6.28582225e-02
 432   | 1.25346706e-01 | 6.29338723e-02
 433   | 1.23739911e-01 | 6.30028264e-02
 434   | 1.22127984e-01 | 6.30646168e-02
 435   | 1.20511186e-01 | 6.31187821e-02
 436   | 1.18889802e-01 | 6.31648691e-02
 437   | 1.17264144e-01 | 6.32024347e-02
 438   | 1.15634552e-01 | 6.32310464e-02
 439   | 1.14001389e-01 | 6.32502842e-02
 440   | 1.12365046e-01 | 6.32597405e-02
 441   | 1.10725935e-01 | 6.32590218e-02
 442   | 1.09084495e-01 | 6.32477486e-02
 443   | 1.07441187e-01 | 6.32255570e-02
 444   | 1.05796496e-01 | 6.31920982e-02
 445   | 1.04150927e-01 | 6.31470396e-02
 446   | 1.02505006e-01 | 6.30900646e-02
 447   | 1.00859281e-01 | 6.30208727e-02
 448   | 9.92143149e-02 | 6.29391790e-02
 449   | 9.75706910e-02 | 6.28447142e-02
 450   | 9.59290079e-02 | 6.27372244e-02
 451   | 9.42898792e-02 | 6.26164706e-02
 452   | 9.26539325e-02 | 6.24822296e-02
 453   | 9.10218078e-02 | 6.23342938e-02
 454   | 8.93941561e-02 | 6.21724719e-02
 455   | 8.77716381e-02 | 6.19965902e-02
 456   | 8.61549226e-02 | 6.18064927e-02
 457   | 8.45446852e-02 | 6.16020426e-02
 458   | 8.29416066e-02 | 6.13831230e-02
 459   | 8.13463714e-02 | 6.11496371e-02
 460   | 7.97596665e-02 | 6.09015091e-02
 461   | 7.81821793e-02 | 6.06386841e-02
 462   | 7.66145966e-02 | 6.03611287e-02
 463   | 7.50576029e-02 | 6.00688304e-02
 464   | 7.35118788e-02 | 5.97617986e-02
 465   | 7.19780998e-02 | 5.94400640e-02
 466   | 7.04569342e-02 | 5.91036798e-02
 467   | 6.89490421e-02 | 5.87527219e-02
 468   | 6.74550736e-02 | 5.83872895e-02
 469   | 6.59756675e-02 | 5.80075064e-02
 470   | 6.45114494e-02 | 5.76135218e-02
 471   | 6.30630308e-02 | 5.72055108e-02
 472   | 6.16310067e-02 | 5.67836760e-02
 473   | 6.02159553e-02 | 5.63482475e-02
 474   | 5.88184354e-02 | 5.58994837e-02
 475   | 5.74389857e-02 | 5.54376720e-02
 476   | 5.60781233e-02 | 5.49631287e-02
 477   | 5.47363420e-02 | 5.44761990e-02
 478   | 5.34141115e-02 | 5.39772575e-02
 479   | 5.21118758e-02 | 5.34667077e-02
 480   | 5.08300519e-02 | 5.29449818e-02
 481   | 4.95690293e-02 | 5.24125406e-02
 482   | 4.83291681e-02 | 5.18698725e-02
 483   | 4.71107987e-02 | 5.13174936e-02
 484   | 4.59142205e-02 | 5.07559462e-02
 485   | 4.47397016e-02 | 5.01857976e-02
