corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
single_qubit_flags [[ True False False False]
 [False  True False False]
 [False False  True False]
 [False False False  True]]
plaquette_terms_flags [[ 1 -1 -1  1]]
QOC is saving this optimization run to ./out/00000_hamil_500_3_2_2.h5.
iter   |   total error  |    grads_l2   
 471   | 1.96634621e-01 | 4.56492054e-02
 472   | 1.95783116e-01 | 4.58032177e-02
 473   | 1.94925713e-01 | 4.59659500e-02
 474   | 1.94062116e-01 | 4.61375044e-02
 475   | 1.93192019e-01 | 4.63178898e-02
 476   | 1.92315112e-01 | 4.65070020e-02
 477   | 1.91431076e-01 | 4.67046179e-02
 478   | 1.90539590e-01 | 4.69104016e-02
 479   | 1.89640327e-01 | 4.71239200e-02
 480   | 1.88732963e-01 | 4.73446648e-02
 481   | 1.87817177e-01 | 4.75720758e-02
 482   | 1.86892653e-01 | 4.78055631e-02
 483   | 1.85959084e-01 | 4.80445238e-02
 484   | 1.85016178e-01 | 4.82883513e-02
 485   | 1.84063654e-01 | 4.85364391e-02
 486   | 1.83101248e-01 | 4.87881769e-02
 487   | 1.82128717e-01 | 4.90429441e-02
 488   | 1.81145835e-01 | 4.93001009e-02
 489   | 1.80152398e-01 | 4.95589802e-02
 490   | 1.79148226e-01 | 4.98188824e-02
 491   | 1.78133163e-01 | 5.00790738e-02
 492   | 1.77107076e-01 | 5.03387898e-02
 493   | 1.76069862e-01 | 5.05972421e-02
 494   | 1.75021445e-01 | 5.08536303e-02
 495   | 1.73961775e-01 | 5.11071559e-02
 496   | 1.72890834e-01 | 5.13570388e-02
 497   | 1.71808632e-01 | 5.16025346e-02
 498   | 1.70715209e-01 | 5.18429513e-02
 499   | 1.69610631e-01 | 5.20776648e-02
 500   | 1.68494993e-01 | 5.23061333e-02
 501   | 1.67368413e-01 | 5.25279086e-02
 502   | 1.66231033e-01 | 5.27426451e-02
 503   | 1.65083012e-01 | 5.29501065e-02
 504   | 1.63924527e-01 | 5.31501705e-02
 505   | 1.62755766e-01 | 5.33428305e-02
 506   | 1.61576926e-01 | 5.35281968e-02
 507   | 1.60388205e-01 | 5.37064954e-02
 508   | 1.59189803e-01 | 5.38780650e-02
 509   | 1.57981911e-01 | 5.40433530e-02
 510   | 1.56764713e-01 | 5.42029094e-02
 511   | 1.55538374e-01 | 5.43573786e-02
 512   | 1.54303043e-01 | 5.45074900e-02
 513   | 1.53058843e-01 | 5.46540457e-02
 514   | 1.51805869e-01 | 5.47979067e-02
 515   | 1.50544188e-01 | 5.49399775e-02
 516   | 1.49273829e-01 | 5.50811887e-02
 517   | 1.47994789e-01 | 5.52224785e-02
 518   | 1.46707024e-01 | 5.53647746e-02
 519   | 1.45410453e-01 | 5.55089743e-02
 520   | 1.44104955e-01 | 5.56559269e-02
 521   | 1.42790372e-01 | 5.58064157e-02
 522   | 1.41466508e-01 | 5.59611426e-02
 523   | 1.40133134e-01 | 5.61207137e-02
